Nr ,   Dags. ,   Timi    ,lat,lon,dpth,M,  ML
1,20121231,24034.469,63.6503,-19.33834,0.136,2.41,1.34
2,20121231,41920.899,66.61861,-17.98681,10.85,1.95,1.94
3,20121231,71927.024,66.61666,-17.92636,9.272,2.35,1.94
4,20121231,80945.313,61.6882,-25.76438,10.045,2.83,2.69
5,20121231,91234.623,63.63796,-19.19092,1.236,1.19,1
6,20121231,103601.096,64.60244,-16.67977,19.732,1.17,0.62
7,20121231,130258.744,65.11128,-16.41452,7.754,1.41,1.33
8,20121231,145619.575,66.31664,-18.76033,7.094,1.87,2.03
9,20121231,192614.384,63.98787,-20.70533,4.738,0.83,0.53
10,20121231,192948.519,63.98898,-20.70901,4.395,0.92,0.88
11,20121231,200902.261,63.85366,-19.19253,14.285,1.06,0.9
12,20121231,202701.798,63.64082,-19.2652,5.779,0.63,0.68
13,20121231,230511.773,66.62181,-17.93797,9.583,2.49,2.3
14,20130101,12128.732,64.67505,-17.43006,5.154,2.46,1.41
15,20130101,15226.645,66.29741,-18.7403,5.025,1.66,1.48
16,20130101,32149.031,63.99485,-20.08601,6.415,0.98,0.56
17,20130101,32951.957,66.29785,-18.76152,7.664,1.37,1.58
18,20130101,33537.29,65.71785,-16.85115,2.898,0.81,0.24
19,20130101,42051.087,63.99873,-21.32141,3.308,0.19,-0.32
20,20130101,63346.454,63.6616,-19.32244,0.136,0.5,1.13
21,20130101,63352.285,63.65491,-19.32921,0.136,0.88,1.2
22,20130101,82914.252,63.93504,-21.97978,7.541,0.53,0.3
23,20130101,83337.338,63.93634,-22.0037,9.265,0.56,0.25
24,20130101,84549.309,63.93232,-21.9753,5.92,0.76,0.08
25,20130101,104504.721,63.88339,-22.17265,6.773,0.96,0.35
26,20130101,125736.57,63.84142,-19.01053,0.309,0.7,0.56
27,20130101,125743.998,63.70918,-20.38577,11.309,0.58,0.54
28,20130101,153219.773,63.60655,-19.27782,0.136,-0.01,-0.1
29,20130101,154027.497,63.66521,-19.14877,1.634,1.32,1.34
30,20130101,161748.127,66.39935,-17.58071,17.004,1.45,1.58
31,20130101,163022.798,63.93061,-21.17158,7.473,0.63,0.39
32,20130101,172809.351,64.82369,-17.28521,5.877,0.65,0.31
33,20130101,183034.578,66.26256,-16.71666,6.122,1.35,1.3
34,20130101,201951.486,63.62339,-19.20674,4.886,0.65,-0.04
35,20130101,230501.654,63.89189,-19.14424,12.002,0.84,1.22
36,20130102,252.586,65.04678,-16.29872,22.254,0.48,-0.22
37,20130102,5156.654,63.64441,-19.27456,6.352,0.87,0.61
38,20130102,13125.14,66.26933,-18.73829,4.155,0.8,0.82
39,20130102,14504.355,64.79195,-17.21382,4.664,1.1,0.88
40,20130102,25457.065,65.18359,-16.34698,11.69,0.87,0.86
41,20130102,25704.01,65.03239,-16.68679,4.559,0.43,-0.4
42,20130102,25842.355,65.1842,-16.34726,11.979,0.52,0.65
43,20130102,30330.791,66.29869,-18.76548,10.16,2.04,2.13
44,20130102,31904.06,63.54866,-19.11024,0.136,0.47,0.62
45,20130102,45514.98,66.29668,-18.7472,6.501,1.16,1.02
46,20130102,55342.729,63.81538,-19.09037,6.788,0.65,0.7
47,20130102,60231.639,64.58862,-16.68484,7.156,0.97,0.63
48,20130102,65858.98,64.70479,-17.44065,6.773,1.5,1.28
49,20130102,102622.43,65.05203,-16.649,4.43,0.5,-0.06
50,20130102,105652.094,64.40184,-20.70435,10.773,0.84,0.6
51,20130102,111340.036,64.05623,-21.38927,4.574,1.43,1.33
52,20130102,111915.506,64.04745,-21.37678,1.145,0.61,0.22
53,20130102,112727.866,66.29143,-18.76295,7.88,1.16,1.6
54,20130102,113004.883,64.05367,-21.38272,3.028,0.37,0.21
55,20130102,113116.797,66.61244,-17.94519,9.885,1,1.07
56,20130102,114512.964,64.05623,-21.38566,4.063,0.95,0.7
57,20130102,114741.926,66.29656,-16.74935,4.172,1.76,1.59
58,20130102,122054.666,63.95923,-21.06149,4.293,0.63,0.18
59,20130102,122322.352,63.77369,-19.08599,0.136,0.76,1.04
60,20130102,122946.732,65.14635,-16.3993,12.03,0.72,0.07
61,20130102,141838.648,64.08111,-21.37617,3.133,0.15,-0.02
62,20130102,150530.817,63.63691,-19.28247,5.011,0.27,0.21
63,20130102,153237.451,63.84982,-19.2352,0.136,0.84,0.74
64,20130102,173202.292,64.71988,-17.42263,12.413,1.13,0.92
65,20130102,195502.937,63.89333,-22.31302,8.358,0.99,0.57
66,20130102,195846.412,63.62393,-23.19299,0.136,1.44,1.6
67,20130102,212636.603,65.69972,-16.85028,6.948,0.58,-0.07
68,20130102,212708.698,66.48663,-19.15642,13.339,1.02,1.18
69,20130102,213407.023,63.88779,-19.15809,3.074,0.79,0.89
70,20130102,214759.684,63.65736,-19.33369,0.136,1.13,1.06
