date,t,lon,lat,depth,sz,quality,dist,direction,loc

2013-05-16,13:52:44.7,65.968,-18.758,4.7,1.6,49.45,  10.2 km,V,"af Dalvík
"
2013-05-16,09:56:14.0,64.789,-17.149,6.7,2.2,55.09,   3.0 km,ANA,"af Kistufelli
"
2013-05-16,04:42:34.9,64.070,-21.456,6.6,0.6,90.01,   2.6 km,ANA,"af Litlu Kaffistofunni
"
2013-05-16,02:56:24.3,63.727,-23.276,14.7,1.5,67.13,   4.7 km,NV,"af Geirfuglaskeri á Rneshr.
"
2013-05-16,02:03:52.8,63.902,-22.083,3.7,0.9,83.92,   1.8 km,NNV,"af Krýsuvík
"
2013-05-16,01:23:18.2,64.048,-21.194,5.4,0.1,71.32,   3.3 km,S,"af Hrómundartindi
"
2013-05-15,23:41:06.3,63.725,-23.051,9.3,1.2,72.80,   3.1 km,V,"af Eldeyjardrangi á Rneshr.
"
2013-05-15,23:41:05.5,63.711,-23.165,10.4,1.8,90.01,   2.6 km,NA,"af Geirfuglaskeri á Rneshr.
"
2013-05-15,23:13:04.0,66.258,-18.733,1.1,2.1,90.01,  15.9 km,NA,"af Siglufirði
"
2013-05-15,22:53:57.5,63.895,-22.429,8.1,1.2,90.02,   6.3 km,N,"af Grindavík
"
2013-05-15,22:53:54.3,63.801,-22.842,7.9,1.8,90.02,   6.7 km,V,"af Reykjanestá
"
2013-05-15,22:30:23.5,63.906,-19.712,8.4,0.1,46.09,   9.8 km,SSV,"af Heklu
"
2013-05-15,22:53:54.9,63.842,-22.793,4.9,1.8,59.50,   6.3 km,NV,"af Reykjanestá
"
2013-05-15,19:54:01.2,66.244,-16.673,2.4,1.7,48.18,  11.8 km,VSV,"af Kópaskeri
"
2013-05-15,19:19:27.0,63.596,-19.116,5.1,-0.6,40.09,   1.9 km,NNV,"af Hábungu
"
2013-05-15,18:08:34.8,63.914,-21.941,8.4,0.4,42.51,   6.8 km,ANA,"af Krýsuvík
"
2013-05-15,18:06:42.6,64.116,-21.399,1.1,0.9,30.52,   1.5 km,SSA,"af Eiturhóli
"
2013-05-15,18:06:41.1,63.909,-21.820,6.8,1.3,90.01,  11.3 km,S,"af Helgafelli
"
2013-05-15,17:06:16.9,66.346,-18.769,8.3,1.3,40.73,  23.8 km,NNA,"af Siglufirði
"
2013-05-15,16:49:14.2,63.573,-19.231,9.1,-0.6,43.67,   6.5 km,V,"af Hábungu
"
2013-05-15,16:29:49.5,66.348,-18.781,10.0,1.4,32.30,  23.9 km,NNA,"af Siglufirði
"
2013-05-15,16:15:12.0,64.356,-21.658,1.1,1.0,90.01,  11.4 km,VSV,"af Hvalstöð
"
2013-05-15,16:15:09.7,64.503,-21.696,1.1,1.3,90.01,  11.6 km,ASA,"af Borgarnesi
"
2013-05-15,12:17:10.3,63.908,-21.922,6.8,0.5,84.06,   7.4 km,ANA,"af Krýsuvík
"
2013-05-15,12:05:30.2,63.916,-21.951,9.4,0.6,30.74,   6.4 km,ANA,"af Krýsuvík
"
2013-05-15,11:06:54.8,63.734,-23.294,6.9,1.4,90.01,   5.9 km,NV,"af Geirfuglaskeri á Rneshr.
"
2013-05-15,08:40:34.4,66.533,-17.601,1.1,1.6,83.46,  18.1 km,A,"af Grímsey
"
2013-05-15,08:23:48.3,63.952,-21.751,6.3,0.6,64.55,   6.1 km,SV,"af Bláfjallaskála
"
2013-05-15,07:56:15.7,63.916,-21.928,6.4,0.6,83.02,   7.4 km,ANA,"af Krýsuvík
"
2013-05-15,07:55:52.3,63.919,-21.931,4.5,0.7,89.03,   7.5 km,ANA,"af Krýsuvík
"
2013-05-15,07:41:21.4,63.935,-22.056,4.8,0.6,56.10,   5.3 km,N,"af Krýsuvík
"
2013-05-15,02:55:42.2,63.683,-19.312,11.4,1.4,63.05,   5.7 km,NNV,"af Goðabungu
"
2013-05-15,00:59:04.8,63.746,-23.220,10.3,1.3,56.44,   5.5 km,N,"af Geirfuglaskeri á Rneshr.
"
2013-05-14,17:14:24.3,63.670,-19.337,8.4,2.4,34.96,   5.4 km,NV,"af Goðabungu
"
2013-05-14,16:06:03.2,63.955,-19.288,14.6,0.3,37.98,  11.0 km,NNV,"af Álftavatni
"
2013-05-14,15:31:19.0,63.954,-21.288,5.3,0.5,37.19,   4.6 km,SSA,"af Skálafelli á Hellisheiði
"
2013-05-14,14:19:57.2,66.224,-18.291,8.7,1.3,31.45,   5.7 km,NNV,"af Gjögurtá
"
